Model;Decoration;K;Llk;AIC;BIC
MtZoa;+G+I+F;154;-26002,40146;52312,80292;52956,84399
MtZoa;+G+F;153;-26005,15718;52316,31436;52956,17335
CpREV;+G+I+F;154;-26040,87615;52389,75230;53033,79337
MtArt;+G+I+F;154;-26162,56311;52633,12622;53277,16729
Flu;+G+I+F;154;-26494,50430;53297,00860;53941,04967
MtZoa;+G;134;-26857,14656;53982,29312;54542,69249
AB;+G+I+F;154;-26852,74210;54013,48420;54657,52527
LG;+G+I;135;-27077,03208;54424,06416;54988,64562
LG;+G;134;-27078,06732;54424,13464;54984,53401
LG;+G+I+F;154;-27059,58373;54427,16746;55071,20853
RtREV;+G+I+F;154;-27157,34754;54622,69508;55266,73615
HIVw;+G+I+F;154;-27157,67157;54623,34314;55267,38421
WAG;+G+I+F;154;-27309,83599;54927,67198;55571,71305
VT;+G+I+F;154;-27364,52536;55037,05072;55681,09179
VT;+G+I;135;-27424,77339;55119,54678;55684,12824
JTT;+G+I+F;154;-27420,74917;55149,49834;55793,53941
Blosum62;+G+I+F;154;-27459,27127;55226,54254;55870,58361
Blosum62;+G+I;135;-27482,61461;55235,22922;55799,81068
JTT;+G+I;135;-27528,44159;55326,88318;55891,46464
MtREV;+G+I+F;154;-27548,02328;55404,04656;56048,08763
Dayhoff;+G+I+F;154;-27564,79092;55437,58184;56081,62291
DCMut;+G+I+F;154;-27566,62469;55441,24938;56085,29045
HIVb;+G+I+F;154;-27756,24982;55820,49964;56464,54071
MtMam;+G+I+F;154;-27897,27095;56102,54190;56746,58297
MtZoa;+G+I;135;-28210,43995;56690,87990;57255,46136
