Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-23988,23547;48284,47094;48882,93096
LG;+G+F;153;-23991,02738;48288,05476;48882,62867
RtREV;+G+I+F;154;-24039,91122;48387,82244;48986,28246
LG;+G+I;135;-24071,94146;48413,88292;48938,50696
LG;+G;134;-24075,12576;48418,25152;48938,98946
MtZoa;+G+I+F;154;-24123,69682;48555,39364;49153,85366
WAG;+G+I+F;154;-24162,45433;48632,90866;49231,36868
VT;+G+I+F;154;-24177,67184;48663,34368;49261,80370
JTT;+G+I+F;154;-24240,68066;48789,36132;49387,82134
Blosum62;+G+I+F;154;-24241,09259;48790,18518;49388,64520
MtArt;+G+I+F;154;-24249,61171;48807,22342;49405,68344
CpREV;+G+I+F;154;-24249,88510;48807,77020;49406,23022
VT;+G+I;135;-24295,04796;48860,09592;49384,71996
Blosum62;+G+I;135;-24347,10849;48964,21698;49488,84102
Dayhoff;+G+I+F;154;-24335,33763;48978,67526;49577,13528
DCMut;+G+I+F;154;-24335,71986;48979,43972;49577,89974
MtREV;+G+I+F;154;-24346,92897;49001,85794;49600,31796
HIVb;+G+I+F;154;-24499,08144;49306,16288;49904,62290
Flu;+G+I+F;154;-24542,64818;49393,29636;49991,75638
MtMam;+G+I+F;154;-24602,17202;49512,34404;50110,80406
AB;+G+I+F;154;-24701,81975;49711,63950;50310,09952
HIVw;+G+I+F;154;-25057,95024;50423,90048;51022,36050
