Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-17717,24916;35742,49832;36348,06407
LG;+G+F;153;-17718,62630;35743,25260;36344,88611
LG;+G+I;135;-17781,69591;35833,39182;36364,24492
LG;+G;134;-17783,39831;35834,79662;36361,71747
RtREV;+G+I+F;154;-17780,71037;35869,42074;36474,98649
WAG;+G+I+F;154;-17879,94488;36067,88976;36673,45551
VT;+G+I+F;154;-17884,21454;36076,42908;36681,99483
MtZoa;+G+I+F;154;-17915,21784;36138,43568;36744,00143
Blosum62;+G+I+F;154;-17917,42675;36142,85350;36748,41925
CpREV;+G+I+F;154;-17941,26361;36190,52722;36796,09297
Blosum62;+G+I;135;-17964,06822;36198,13644;36728,98954
VT;+G+I;135;-17971,20824;36212,41648;36743,26958
JTT;+G+I+F;154;-17983,13823;36274,27646;36879,84221
MtArt;+G+I+F;154;-18028,26937;36364,53874;36970,10449
Dayhoff;+G+I+F;154;-18089,25685;36486,51370;37092,07945
DCMut;+G+I+F;154;-18089,59552;36487,19104;37092,75679
MtREV;+G+I+F;154;-18110,22527;36528,45054;37134,01629
HIVb;+G+I+F;154;-18236,99579;36781,99158;37387,55733
Flu;+G+I+F;154;-18286,24592;36880,49184;37486,05759
MtMam;+G+I+F;154;-18381,22514;37070,45028;37676,01603
AB;+G+I+F;154;-18469,77879;37247,55758;37853,12333
HIVw;+G+I+F;154;-18754,34085;37816,68170;38422,24745
