Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-99178,91815;198665,83630;199549,16032
LG;+G+F;153;-99234,44120;198774,88240;199652,47055
RtREV;+G+I+F;154;-99361,12070;199030,24140;199913,56542
LG;+G+I;135;-99603,99965;199477,99930;200252,34179
LG;+G;134;-99658,34293;199584,68586;200353,29248
VT;+G+I+F;154;-99686,61329;199681,22658;200564,55060
WAG;+G+I+F;154;-99701,59428;199711,18856;200594,51258
Blosum62;+G+I+F;154;-100013,17855;200334,35710;201217,68112
VT;+G+I;135;-100051,15443;200372,30886;201146,65135
JTT;+G+I+F;154;-100103,04579;200514,09158;201397,41560
CpREV;+G+I+F;154;-100147,33238;200602,66476;201485,98878
MtZoa;+G+I+F;154;-100236,01274;200780,02548;201663,34950
Blosum62;+G+I;135;-100336,45933;200942,91866;201717,26115
DCMut;+G+I+F;154;-100564,70460;201437,40920;202320,73322
Dayhoff;+G+I+F;154;-100566,06017;201440,12034;202323,44436
MtREV;+G+I+F;154;-100943,00240;202194,00480;203077,32882
MtArt;+G+I+F;154;-100946,58813;202201,17626;203084,50028
HIVb;+G+I+F;154;-101393,72351;203095,44702;203978,77104
Flu;+G+I+F;154;-101476,78275;203261,56550;204144,88952
MtMam;+G+I+F;154;-102454,12617;205216,25234;206099,57636
AB;+G+I+F;154;-102525,25310;205358,50620;206241,83022
HIVw;+G+I+F;154;-103954,47770;208216,95540;209100,27942
