Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-104989,82347;210287,64694;211176,78048
LG;+G+F;153;-105046,26856;210398,53712;211281,89707
RtREV;+G+I+F;154;-105234,80230;210777,60460;211666,73814
LG;+G+I;135;-105256,22238;210782,44476;211561,88001
LG;+G;134;-105312,98688;210893,97376;211667,63541
WAG;+G+I+F;154;-105553,07304;211414,14608;212303,27962
VT;+G+I+F;154;-105610,80775;211529,61550;212418,74904
VT;+G+I;135;-105859,66985;211989,33970;212768,77495
Blosum62;+G+I+F;154;-105921,67316;212151,34632;213040,47986
JTT;+G+I+F;154;-106075,67045;212459,34090;213348,47444
CpREV;+G+I+F;154;-106123,18105;212554,36210;213443,49564
Blosum62;+G+I;135;-106188,11558;212646,23116;213425,66641
MtZoa;+G+I+F;154;-106299,01614;212906,03228;213795,16582
Dayhoff;+G+I+F;154;-106466,98541;213241,97082;214131,10436
DCMut;+G+I+F;154;-106467,40980;213242,81960;214131,95314
MtREV;+G+I+F;154;-107008,07615;214324,15230;215213,28584
MtArt;+G+I+F;154;-107096,33418;214500,66836;215389,80190
Flu;+G+I+F;154;-107555,20303;215418,40606;216307,53960
HIVb;+G+I+F;154;-107657,98913;215623,97826;216513,11180
MtMam;+G+I+F;154;-108615,80851;217539,61702;218428,75056
AB;+G+I+F;154;-108668,03011;217644,06022;218533,19376
HIVw;+G+I+F;154;-110373,53252;221055,06504;221944,19858
